prabhag_no,anganwadi,school,primary_health_center,nagari_suvidha_kendra,virangula_kendra,gym,garden,night_shelter,,value_for_anganwadi_index,max_value,min_value,anganwadi_index,value_for_school_index,max_value,min_value,school_index,value_for_primary_health_center_index,max_value,min_value,primary_health_center_index,value_for_nagari_suvidha_kendra_index,max_value,min_value,nagari_suvidha_kendra_index,value_for_virangula_kendra_index,max_value,min_value,virangula_kendra_index,value_for_gym_index,max_value,min_value,gym_index,value_for_garden_index,max_value,min_value,garden_index,value_for_night_shelter_index,max_value,min_value,night_shelter_index,public_amenities_index
1,0,13,1,0,1,0,5,0,,0,21,0,0.00,13,13,0,1.00,1,52,0,0.02,0,2,0,0,1,4,0,0.25,0,6,0,0.00,5,10,0,0.5,0,2,0,0,0.41
2,0,3,1,0,1,1,2,0,,0,21,0,0.00,3,13,0,0.23,1,52,0,0.02,0,2,0,0,1,4,0,0.25,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.15
3,0,1,0,1,0,0,0,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.18
4,8,2,0,0,1,2,3,0,,8,21,0,0.38,2,13,0,0.15,0,52,0,0.00,0,2,0,0,1,4,0,0.25,2,6,0,0.33,3,10,0,0.3,0,2,0,0,0.23
5,7,2,2,0,0,0,1,0,,7,21,0,0.33,2,13,0,0.15,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.14
6,4,4,2,0,0,0,2,0,,4,21,0,0.19,4,13,0,0.31,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.15
7,5,3,0,0,0,0,0,0,,5,21,0,0.24,3,13,0,0.23,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.12
8,0,2,1,0,2,2,2,0,,0,21,0,0.00,2,13,0,0.15,1,52,0,0.02,0,2,0,0,2,4,0,0.5,2,6,0,0.33,2,10,0,0.2,0,2,0,0,0.23
9,0,3,0,0,1,1,1,0,,0,21,0,0.00,3,13,0,0.23,0,52,0,0.00,0,2,0,0,1,4,0,0.25,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.14
10,1,2,1,0,2,3,1,0,,1,21,0,0.05,2,13,0,0.15,1,52,0,0.02,0,2,0,0,2,4,0,0.5,3,6,0,0.50,1,10,0,0.1,0,2,0,0,0.26
11,0,2,0,1,0,0,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.21
12,0,2,0,0,0,2,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,0,4,0,0,2,6,0,0.33,3,10,0,0.3,0,2,0,0,0.17
13,6,3,1,0,2,3,2,0,,6,21,0,0.29,3,13,0,0.23,1,52,0,0.02,0,2,0,0,2,4,0,0.5,3,6,0,0.50,2,10,0,0.2,0,2,0,0,0.29
14,7,4,2,0,4,6,1,2,,7,21,0,0.33,4,13,0,0.31,2,52,0,0.04,0,2,0,0,4,4,0,1,6,6,0,1.00,1,10,0,0.1,2,2,0,1,0.63
15,3,7,0,0,0,1,1,0,,3,21,0,0.14,7,13,0,0.54,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.21
16,6,3,1,0,2,3,2,0,,6,21,0,0.29,3,13,0,0.23,1,52,0,0.02,0,2,0,0,2,4,0,0.5,3,6,0,0.50,2,10,0,0.2,0,2,0,0,0.29
17,0,2,2,0,0,2,1,0,,0,21,0,0.00,2,13,0,0.15,2,52,0,0.04,0,2,0,0,0,4,0,0,2,6,0,0.33,1,10,0,0.1,0,2,0,0,0.14
18,1,1,0,0,0,0,1,0,,1,21,0,0.05,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.05
19,0,2,0,0,1,0,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,1,4,0,0.25,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.15
20,2,3,2,0,0,1,2,0,,2,21,0,0.10,3,13,0,0.23,2,52,0,0.04,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.13
21,7,5,1,1,1,0,6,0,,7,21,0,0.33,5,13,0,0.38,1,52,0,0.02,1,2,0,0.5,1,4,0,0.25,0,6,0,0.00,6,10,0,0.6,0,2,0,0,0.34
22,21,0,1,1,0,1,1,0,,21,21,0,1.00,0,13,0,0.00,1,52,0,0.02,1,2,0,0.5,0,4,0,0,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.40
23,4,4,2,0,0,2,1,0,,4,21,0,0.19,4,13,0,0.31,2,52,0,0.04,0,2,0,0,0,4,0,0,2,6,0,0.33,1,10,0,0.1,0,2,0,0,0.18
24,1,1,1,0,1,4,1,0,,1,21,0,0.05,1,13,0,0.08,1,52,0,0.02,0,2,0,0,1,4,0,0.25,4,6,0,0.67,1,10,0,0.1,0,2,0,0,0.26
25,4,3,1,1,1,1,2,0,,4,21,0,0.19,3,13,0,0.23,1,52,0,0.02,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.24
26,0,1,1,0,0,0,1,0,,0,21,0,0.00,1,13,0,0.08,1,52,0,0.02,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.05
27,0,1,0,0,0,0,1,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.04
28,0,1,0,0,0,0,2,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.08
29,0,1,0,0,0,0,1,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.04
30,10,1,1,0,1,1,2,0,,10,21,0,0.48,1,13,0,0.08,1,52,0,0.02,0,2,0,0,1,4,0,0.25,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.21
31,0,3,1,0,0,0,1,0,,0,21,0,0.00,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.09
32,0,1,2,0,0,0,0,0,,0,21,0,0.00,1,13,0,0.08,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.03
33,2,0,0,1,4,0,0,0,,2,21,0,0.10,0,13,0,0.00,0,52,0,0.00,1,2,0,0.5,4,4,0,1,0,6,0,0.00,0,10,0,0,0,2,0,0,0.40
34,0,1,0,0,0,0,3,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.11
35,0,1,0,0,1,0,1,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,1,4,0,0.25,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.10
36,0,2,1,0,0,2,3,0,,0,21,0,0.00,2,13,0,0.15,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,3,10,0,0.3,0,2,0,0,0.17
37,1,2,2,1,0,1,2,0,,1,21,0,0.05,2,13,0,0.15,2,52,0,0.04,1,2,0,0.5,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.21
38,0,3,0,1,0,2,2,0,,0,21,0,0.00,3,13,0,0.23,0,52,0,0.00,1,2,0,0.5,0,4,0,0,2,6,0,0.33,2,10,0,0.2,0,2,0,0,0.24
39,0,3,2,1,0,0,0,0,,0,21,0,0.00,3,13,0,0.23,2,52,0,0.04,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.20
40,4,13,21,1,0,3,4,1,,4,21,0,0.19,13,13,0,1.00,21,52,0,0.40,1,2,0,0.5,0,4,0,0,3,6,0,0.50,4,10,0,0.4,1,2,0,0.5,0.51
41,9,2,2,0,0,1,2,0,,9,21,0,0.43,2,13,0,0.15,2,52,0,0.04,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.19
42,0,3,0,0,0,2,1,0,,0,21,0,0.00,3,13,0,0.23,0,52,0,0.00,0,2,0,0,0,4,0,0,2,6,0,0.33,1,10,0,0.1,0,2,0,0,0.15
43,0,3,0,0,0,0,0,0,,0,21,0,0.00,3,13,0,0.23,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.08
44,2,7,0,0,0,0,2,0,,2,21,0,0.10,7,13,0,0.54,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.21
45,1,3,1,0,0,2,0,0,,1,21,0,0.05,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,0,10,0,0,0,2,0,0,0.14
46,2,4,1,0,0,0,1,0,,2,21,0,0.10,4,13,0,0.31,1,52,0,0.02,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.12
47,0,2,0,0,0,1,0,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,0,10,0,0,0,2,0,0,0.08
48,0,4,2,0,0,0,2,0,,0,21,0,0.00,4,13,0,0.31,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.13
49,1,4,2,0,0,0,0,0,,1,21,0,0.05,4,13,0,0.31,2,52,0,0.04,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.11
50,0,2,0,1,1,1,1,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.22
51,2,2,1,0,0,1,4,0,,2,21,0,0.10,2,13,0,0.15,1,52,0,0.02,0,2,0,0,0,4,0,0,1,6,0,0.17,4,10,0,0.4,0,2,0,0,0.17
52,2,1,1,1,0,0,2,1,,2,21,0,0.10,1,13,0,0.08,1,52,0,0.02,1,2,0,0.5,0,4,0,0,0,6,0,0.00,2,10,0,0.2,1,2,0,0.5,0.26
53,6,2,0,2,3,0,1,0,,6,21,0,0.29,2,13,0,0.15,0,52,0,0.00,2,2,0,1,3,4,0,0.75,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.46
54,3,3,0,1,1,1,2,0,,3,21,0,0.14,3,13,0,0.23,0,52,0,0.00,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.24
55,0,1,0,0,0,1,2,0,,0,21,0,0.00,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.10
56,7,1,1,0,0,3,1,0,,7,21,0,0.33,1,13,0,0.08,1,52,0,0.02,0,2,0,0,0,4,0,0,3,6,0,0.50,1,10,0,0.1,0,2,0,0,0.22
57,3,2,0,0,0,1,0,0,,3,21,0,0.14,2,13,0,0.15,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,0,10,0,0,0,2,0,0,0.09
58,3,1,0,1,1,1,0,0,,3,21,0,0.14,1,13,0,0.08,0,52,0,0.00,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,0,10,0,0,0,2,0,0,0.21
59,0,3,2,1,0,0,0,0,,0,21,0,0.00,3,13,0,0.23,2,52,0,0.04,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.20
60,0,3,2,0,0,1,1,0,,0,21,0,0.00,3,13,0,0.23,2,52,0,0.04,0,2,0,0,0,4,0,0,1,6,0,0.17,1,10,0,0.1,0,2,0,0,0.11
61,1,3,1,0,0,0,1,0,,1,21,0,0.05,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,0,6,0,0.00,1,10,0,0.1,0,2,0,0,0.09
62,1,2,0,1,0,0,5,0,,1,21,0,0.05,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,5,10,0,0.5,0,2,0,0,0.26
63,0,8,1,1,0,1,0,0,,0,21,0,0.00,8,13,0,0.62,1,52,0,0.02,1,2,0,0.5,0,4,0,0,1,6,0,0.17,0,10,0,0,0,2,0,0,0.29
64,4,6,1,0,0,1,3,0,,4,21,0,0.19,6,13,0,0.46,1,52,0,0.02,0,2,0,0,0,4,0,0,1,6,0,0.17,3,10,0,0.3,0,2,0,0,0.21
65,0,2,0,0,1,0,3,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,0,2,0,0,1,4,0,0.25,0,6,0,0.00,3,10,0,0.3,0,2,0,0,0.15
66,1,2,1,0,1,0,2,0,,1,21,0,0.05,2,13,0,0.15,1,52,0,0.02,0,2,0,0,1,4,0,0.25,0,6,0,0.00,2,10,0,0.2,0,2,0,0,0.13
67,1,2,1,0,0,2,10,0,,1,21,0,0.05,2,13,0,0.15,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,10,10,0,1,0,2,0,0,0.38
68,5,1,0,0,0,1,2,0,,5,21,0,0.24,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.13
69,3,1,0,0,0,1,0,0,,3,21,0,0.14,1,13,0,0.08,0,52,0,0.00,0,2,0,0,0,4,0,0,1,6,0,0.17,0,10,0,0,0,2,0,0,0.08
70,1,8,52,2,0,2,0,0,,1,21,0,0.05,8,13,0,0.62,52,52,0,1.00,2,2,0,1,0,4,0,0,2,6,0,0.33,0,10,0,0,0,2,0,0,0.56
71,3,0,0,1,1,1,0,0,,3,21,0,0.14,0,13,0,0.00,0,52,0,0.00,1,2,0,0.5,1,4,0,0.25,1,6,0,0.17,0,10,0,0,0,2,0,0,0.21
72,3,4,1,0,0,1,2,0,,3,21,0,0.14,4,13,0,0.31,1,52,0,0.02,0,2,0,0,0,4,0,0,1,6,0,0.17,2,10,0,0.2,0,2,0,0,0.15
73,0,0,0,0,0,0,0,0,,0,21,0,0.00,0,13,0,0.00,0,52,0,0.00,0,2,0,0,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.00
74,0,0,1,0,1,0,0,0,,0,21,0,0.00,0,13,0,0.00,1,52,0,0.02,0,2,0,0,1,4,0,0.25,0,6,0,0.00,0,10,0,0,0,2,0,0,0.09
75,0,2,0,1,0,0,0,0,,0,21,0,0.00,2,13,0,0.15,0,52,0,0.00,1,2,0,0.5,0,4,0,0,0,6,0,0.00,0,10,0,0,0,2,0,0,0.18
76,4,3,1,0,0,2,1,0,,4,21,0,0.19,3,13,0,0.23,1,52,0,0.02,0,2,0,0,0,4,0,0,2,6,0,0.33,1,10,0,0.1,0,2,0,0,0.16