prabhag_no,length_of_roads,length_of_tar_roads,length_of_concrete_roads,length_of_roads_with_footpath_on_both_sides,length_of_roads_with_footpath_on_one_side,percentage_of_roads_with_strom_water_drainage,,percentage_of_roads_paved,percentage_of_roads_with_usable_footpaths,percentage_of_roads_with_strom_water_drainage,,value_for_paved_roads_index,max_value,min_value,paved_roads_index,value_for_usable_footpaths_index,max_value,min_value,usable_footpath_index,value_for_strom_water_drainage_index,max_value,min_value,strom_water_drainage_index,road_index
1,100.53,80.53,20,19.52,0,18.02,,100.00,19.42,18.02,,100.00,100.00,65.33,1.00,19.42,100.00,0.00,0.19,18.02,100.00,1.00,0.17,0.60
2,60,50,10,15,0,33.33,,100.00,25.00,33.33,,100.00,100.00,65.33,1.00,25.00,100.00,0.00,0.25,33.33,100.00,1.00,0.33,0.62
3,50,30,20,3,4,6,,100.00,14.00,6.00,,100.00,100.00,65.33,1.00,14.00,100.00,0.00,0.14,6.00,100.00,1.00,0.05,0.58
4,68,33,35,20,10,55.88,,100.00,44.12,55.88,,100.00,100.00,65.33,1.00,44.12,100.00,0.00,0.44,55.88,100.00,1.00,0.55,0.71
5,11.49,11.49,0,7,0,60,,100.00,60.92,60.00,,100.00,100.00,65.33,1.00,60.92,100.00,0.00,0.61,60.00,100.00,1.00,0.60,0.76
6,5.1,3.6,0,3.6,1,3.6,,70.59,90.20,3.60,,70.59,100.00,65.33,0.15,90.20,100.00,0.00,0.90,3.60,100.00,1.00,0.03,0.53
7,13,7,6,4,1,90,,100.00,38.46,90.00,,100.00,100.00,65.33,1.00,38.46,100.00,0.00,0.38,90.00,100.00,1.00,0.90,0.81
8,10,8.4,1.6,0,0,80,,100.00,0.00,80.00,,100.00,100.00,65.33,1.00,0.00,100.00,0.00,0.00,80.00,100.00,1.00,0.80,0.74
9,37.2,23.22,13.8,15,0,49,,99.52,40.32,49.00,,99.52,100.00,65.33,0.99,40.32,100.00,0.00,0.40,49.00,100.00,1.00,0.48,0.68
10,27,12,15,3,2,80,,100.00,18.52,80.00,,100.00,100.00,65.33,1.00,18.52,100.00,0.00,0.19,80.00,100.00,1.00,0.80,0.75
11,10.05,7.25,2.8,3.5,2.5,60,,100.00,59.70,60.00,,100.00,100.00,65.33,1.00,59.70,100.00,0.00,0.60,60.00,100.00,1.00,0.60,0.76
12,30,20,10,25,5,30,,100.00,100.00,30.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,30.00,100.00,1.00,0.29,0.83
13,10.1,4.8,5.3,5,1.2,70,,100.00,61.39,70.00,,100.00,100.00,65.33,1.00,61.39,100.00,0.00,0.61,70.00,100.00,1.00,0.70,0.79
14,9.5,1.5,8,8,0,80,,100.00,84.21,80.00,,100.00,100.00,65.33,1.00,84.21,100.00,0.00,0.84,80.00,100.00,1.00,0.80,0.88
15,9.37,6.4,2.97,1.01,0,20,,100.00,10.78,20.00,,100.00,100.00,65.33,1.00,10.78,100.00,0.00,0.11,20.00,100.00,1.00,0.19,0.59
16,12.5,5,7.5,4,1,80,,100.00,40.00,80.00,,100.00,100.00,65.33,1.00,40.00,100.00,0.00,0.40,80.00,100.00,1.00,0.80,0.77
17,40,30,10,5,20,50,,100.00,62.50,50.00,,100.00,100.00,65.33,1.00,62.50,100.00,0.00,0.63,50.00,100.00,1.00,0.49,0.74
18,42.5,40,2.5,2.4,0,6.7,,100.00,5.65,6.70,,100.00,100.00,65.33,1.00,5.65,100.00,0.00,0.06,6.70,100.00,1.00,0.06,0.58
19,38,30.6,1.46,0,0,1.8,,84.37,0.00,1.80,,84.37,100.00,65.33,0.55,0.00,100.00,0.00,0.00,1.80,100.00,1.00,0.01,0.32
20,20,19.4,0.6,4,0.5,53.33,,100.00,22.50,53.33,,100.00,100.00,65.33,1.00,22.50,100.00,0.00,0.23,53.33,100.00,1.00,0.53,0.67
21,23.36,23.36,0,13.52,1.65,21.4,,100.00,64.94,21.40,,100.00,100.00,65.33,1.00,64.94,100.00,0.00,0.65,21.40,100.00,1.00,0.21,0.70
22,7,5.8,1.2,1,0.6,55.1,,100.00,22.86,55.10,,100.00,100.00,65.33,1.00,22.86,100.00,0.00,0.23,55.10,100.00,1.00,0.55,0.67
23,5.65,4.75,0.1,1.425,0.7,1.35,,85.84,37.61,1.35,,85.84,100.00,65.33,0.59,37.61,100.00,0.00,0.38,1.35,100.00,1.00,0.00,0.40
24,30.5,30,0.5,11,0,29.5,,100.00,36.07,29.50,,100.00,100.00,65.33,1.00,36.07,100.00,0.00,0.36,29.50,100.00,1.00,0.29,0.64
25,4.5,4.4,0.1,1,0.5,40,,100.00,33.33,40.00,,100.00,100.00,65.33,1.00,33.33,100.00,0.00,0.33,40.00,100.00,1.00,0.39,0.65
26,14.989,8.994,5.995,2.458,2.51,60,,100.00,33.14,60.00,,100.00,100.00,65.33,1.00,33.14,100.00,0.00,0.33,60.00,100.00,1.00,0.60,0.70
27,14.688,8.85,5.838,1.6,2.35,63,,100.00,26.89,63.00,,100.00,100.00,65.33,1.00,26.89,100.00,0.00,0.27,63.00,100.00,1.00,0.63,0.70
28,15.804,8.67,7.134,0.48,1.15,67,,100.00,10.31,67.00,,100.00,100.00,65.33,1.00,10.31,100.00,0.00,0.10,67.00,100.00,1.00,0.67,0.70
29,20.914,12.06,8.854,0.4,1.65,61,,100.00,9.80,61.00,,100.00,100.00,65.33,1.00,9.80,100.00,0.00,0.10,61.00,100.00,1.00,0.61,0.68
30,27.149,22.155,4.994,3.08,1.237,30,,100.00,15.90,30.00,,100.00,100.00,65.33,1.00,15.90,100.00,0.00,0.16,30.00,100.00,1.00,0.29,0.61
31,25.96,25.36,0.6,0,0,90,,100.00,0.00,90.00,,100.00,100.00,65.33,1.00,0.00,100.00,0.00,0.00,90.00,100.00,1.00,0.90,0.78
32,17.86,15,2.86,0,2.27,40,,100.00,12.71,40.00,,100.00,100.00,65.33,1.00,12.71,100.00,0.00,0.13,40.00,100.00,1.00,0.39,0.62
33,13,2,11,10.4,2.6,90,,100.00,100.00,90.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,90.00,100.00,1.00,0.90,0.97
34,26.16,14.39,11.77,0.5,1.04,64,,100.00,5.89,64.00,,100.00,100.00,65.33,1.00,5.89,100.00,0.00,0.06,64.00,100.00,1.00,0.64,0.69
35,29.55,28.9,0.6,8,4,70,,99.83,40.61,70.00,,99.83,100.00,65.33,1.00,40.61,100.00,0.00,0.41,70.00,100.00,1.00,0.70,0.74
36,30,25.5,4.5,8,1,15,,100.00,30.00,15.00,,100.00,100.00,65.33,1.00,30.00,100.00,0.00,0.30,15.00,100.00,1.00,0.14,0.61
37,9,7,2,5,4,60,,100.00,100.00,60.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,60.00,100.00,1.00,0.60,0.89
38,15,7.5,7.5,6,0,100,,100.00,40.00,100.00,,100.00,100.00,65.33,1.00,40.00,100.00,0.00,0.40,100.00,100.00,1.00,1.00,0.85
39,5.485,4.385,1.1,3.2,2,80,,100.00,94.80,80.00,,100.00,100.00,65.33,1.00,94.80,100.00,0.00,0.95,80.00,100.00,1.00,0.80,0.92
40,15.8,14.6,1.2,6,6,22,,100.00,75.95,22.00,,100.00,100.00,65.33,1.00,75.95,100.00,0.00,0.76,22.00,100.00,1.00,0.21,0.74
41,14.99,11.79,3.2,2.6,0.4,22,,100.00,20.01,22.00,,100.00,100.00,65.33,1.00,20.01,100.00,0.00,0.20,22.00,100.00,1.00,0.21,0.60
42,64,40,24,6,4,10,,100.00,15.63,10.00,,100.00,100.00,65.33,1.00,15.63,100.00,0.00,0.16,10.00,100.00,1.00,0.09,0.59
43,70,50,20,3,2,50,,100.00,7.14,50.00,,100.00,100.00,65.33,1.00,7.14,100.00,0.00,0.07,50.00,100.00,1.00,0.49,0.65
44,90,9,81,8,2,10,,100.00,11.11,10.00,,100.00,100.00,65.33,1.00,11.11,100.00,0.00,0.11,10.00,100.00,1.00,0.09,0.58
45,126,70,56,4,2,1,,100.00,4.76,1.00,,100.00,100.00,65.33,1.00,4.76,100.00,0.00,0.05,1.00,100.00,1.00,0.00,0.58
46,24.45,22.4,2.05,1.6,0.9,16,,100.00,10.22,16.00,,100.00,100.00,65.33,1.00,10.22,100.00,0.00,0.10,16.00,100.00,1.00,0.15,0.59
47,4.8,3.9,0.9,3,0.5,2.5,,100.00,72.92,2.50,,100.00,100.00,65.33,1.00,72.92,100.00,0.00,0.73,2.50,100.00,1.00,0.02,0.71
48,6,4.5,1.5,2,3.5,74.5,,100.00,91.67,74.50,,100.00,100.00,65.33,1.00,91.67,100.00,0.00,0.92,74.50,100.00,1.00,0.74,0.89
49,9.636,7.358,2.278,2.5,0,8,,100.00,25.94,8.00,,100.00,100.00,65.33,1.00,25.94,100.00,0.00,0.26,8.00,100.00,1.00,0.07,0.60
50,8.27,8.17,0.1,5,0,80,,100.00,60.46,80.00,,100.00,100.00,65.33,1.00,60.46,100.00,0.00,0.60,80.00,100.00,1.00,0.80,0.82
51,16,14.5,1.5,5,0,30,,100.00,31.25,30.00,,100.00,100.00,65.33,1.00,31.25,100.00,0.00,0.31,30.00,100.00,1.00,0.29,0.63
52,29.5,17.7,11.8,10.32,16.22,60,,100.00,89.97,60.00,,100.00,100.00,65.33,1.00,89.97,100.00,0.00,0.90,60.00,100.00,1.00,0.60,0.85
53,25.34,22,3.34,1,0,20,,100.00,3.95,20.00,,100.00,100.00,65.33,1.00,3.95,100.00,0.00,0.04,20.00,100.00,1.00,0.19,0.59
54,36.5,27.31,6.73,2.4,0.2,10,,93.26,7.12,10.00,,93.26,100.00,65.33,0.81,7.12,100.00,0.00,0.07,10.00,100.00,1.00,0.09,0.47
55,21,19,2,1,2,20,,100.00,14.29,20.00,,100.00,100.00,65.33,1.00,14.29,100.00,0.00,0.14,20.00,100.00,1.00,0.19,0.59
56,16.98,6.26,10.12,0,2.25,30,,96.47,13.25,30.00,,96.47,100.00,65.33,0.90,13.25,100.00,0.00,0.13,30.00,100.00,1.00,0.29,0.55
57,15.45,13.84,1.61,0,9,60,,100.00,58.25,60.00,,100.00,100.00,65.33,1.00,58.25,100.00,0.00,0.58,60.00,100.00,1.00,0.60,0.75
58,8,6.8,1.2,5,1,43.75,,100.00,75.00,43.75,,100.00,100.00,65.33,1.00,75.00,100.00,0.00,0.75,43.75,100.00,1.00,0.43,0.76
59,5.2,3,1.5,2,1.6,3,,86.54,69.23,3.00,,86.54,100.00,65.33,0.61,69.23,100.00,0.00,0.69,3.00,100.00,1.00,0.02,0.53
60,5.25,4,1.25,1,3,2.5,,100.00,76.19,2.50,,100.00,100.00,65.33,1.00,76.19,100.00,0.00,0.76,2.50,100.00,1.00,0.02,0.73
61,26.73,24.591,2.1384,1.5,2,60,,100.00,13.09,60.00,,100.00,100.00,65.33,1.00,13.09,100.00,0.00,0.13,60.00,100.00,1.00,0.60,0.68
62,49.44,24.7,7.6,6,2,10,,65.33,16.18,10.00,,65.33,100.00,65.33,0.00,16.18,100.00,0.00,0.16,10.00,100.00,1.00,0.09,0.11
63,32.829,29.82,3,0,2.5,8,,99.97,7.62,8.00,,99.97,100.00,65.33,1.00,7.62,100.00,0.00,0.08,8.00,100.00,1.00,0.07,0.58
64,13.45,8.46,4.99,13.45,0,80,,100.00,100.00,80.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,80.00,100.00,1.00,0.80,0.94
65,5.586,4.421,1.165,1.5,1.5,3,,100.00,53.71,3.00,,100.00,100.00,65.33,1.00,53.71,100.00,0.00,0.54,3.00,100.00,1.00,0.02,0.66
66,20,16,4,2,0,60,,100.00,10.00,60.00,,100.00,100.00,65.33,1.00,10.00,100.00,0.00,0.10,60.00,100.00,1.00,0.60,0.67
67,26,21.7,4.3,0,1.7,70,,100.00,6.54,70.00,,100.00,100.00,65.33,1.00,6.54,100.00,0.00,0.07,70.00,100.00,1.00,0.70,0.70
68,20.35,13.7,6.65,3.5,0,50,,100.00,17.20,50.00,,100.00,100.00,65.33,1.00,17.20,100.00,0.00,0.17,50.00,100.00,1.00,0.49,0.65
69,46,34,12,5,1,30,,100.00,13.04,30.00,,100.00,100.00,65.33,1.00,13.04,100.00,0.00,0.13,30.00,100.00,1.00,0.29,0.61
70,28.1,19.32,8.78,11.2,5.8,75,,100.00,60.50,75.00,,100.00,100.00,65.33,1.00,60.50,100.00,0.00,0.60,75.00,100.00,1.00,0.75,0.80
71,17.47,10.21,7.26,17.47,0,85,,100.00,100.00,85.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,85.00,100.00,1.00,0.85,0.95
72,34.3,20,14.3,5,0,1.5,,100.00,14.58,1.50,,100.00,100.00,65.33,1.00,14.58,100.00,0.00,0.15,1.50,100.00,1.00,0.01,0.58
73,6,2.1,3.9,4,0,70,,100.00,66.67,70.00,,100.00,100.00,65.33,1.00,66.67,100.00,0.00,0.67,70.00,100.00,1.00,0.70,0.80
74,29.75,19.55,10.2,1.1,1.2,9.2,,100.00,7.73,9.20,,100.00,100.00,65.33,1.00,7.73,100.00,0.00,0.08,9.20,100.00,1.00,0.08,0.58
75,50,35,15,4,1,40,,100.00,10.00,40.00,,100.00,100.00,65.33,1.00,10.00,100.00,0.00,0.10,40.00,100.00,1.00,0.39,0.62
76,24.95,24,0.95,1.05,0,20,,100.00,4.21,20.00,,100.00,100.00,65.33,1.00,4.21,100.00,0.00,0.04,20.00,100.00,1.00,0.19,0.59